iter	Logloss
0	0.6507487625
1	0.6129560717
2	0.5799048949
3	0.5503510159
4	0.5244438522
5	0.5017674841
6	0.4813020208
7	0.4634170656
8	0.4474400222
9	0.4331763468
10	0.4208931361
11	0.4099171087
12	0.4003614649
13	0.3917608014
14	0.3843296093
15	0.3776659925
16	0.3717089962
17	0.3663649067
18	0.3618003985
19	0.357601023
20	0.3537814072
21	0.3505211979
22	0.3476210076
23	0.344895473
24	0.3425023278
25	0.3403702668
26	0.338557595
27	0.3365528218
28	0.3351346271
29	0.3337408329
30	0.332028637
31	0.3307570527
32	0.3295029291
33	0.3286285998
34	0.3277854384
35	0.3268471629
36	0.3259916969
37	0.3254243084
38	0.32482112
39	0.3240797563
40	0.3235613018
41	0.3230578933
42	0.3225944348
43	0.3222104072
44	0.3218676261
45	0.3212323626
46	0.3208706136
47	0.3205489758
48	0.3201576314
49	0.3197893996
50	0.3195382244
51	0.3192527717
52	0.3190669871
53	0.3188414641
54	0.3185582889
55	0.3182758945
56	0.3179929299
57	0.3177492277
58	0.3176173358
59	0.3175035017
60	0.3173757568
61	0.3170743394
62	0.3167983557
63	0.3165280912
64	0.3163241359
65	0.3161379588
66	0.3159764036
67	0.3158399907
68	0.3156945695
69	0.3155901653
70	0.3154500803
71	0.3153306676
72	0.3151844482
73	0.3150722978
74	0.3149341653
75	0.3147935115
76	0.3146873572
77	0.3145861272
78	0.3144192256
79	0.314354725
80	0.3141946761
81	0.3140751319
82	0.3139405463
83	0.3138533009
84	0.3136968149
85	0.3135356554
86	0.313403658
87	0.3132618585
88	0.3130983633
89	0.3129876356
90	0.3128502869
91	0.3127268941
92	0.3126460928
93	0.3125734111
94	0.31252964
95	0.3123589672
96	0.3122056414
97	0.3121319791
98	0.3120158407
99	0.3119127887
100	0.3118694682
101	0.3117945482
102	0.3117128186
103	0.3116314845
104	0.3115292362
105	0.311428748
106	0.3113368824
107	0.311266253
108	0.3112153856
109	0.3111346646
110	0.3110772712
111	0.3109393987
112	0.3106997678
113	0.3106250711
114	0.3105189418
115	0.3104259515
116	0.3103861284
117	0.3102842818
118	0.3102430086
119	0.3101233594
120	0.31006431
121	0.3099743785
122	0.3098674757
123	0.3098016283
124	0.3097590985
125	0.3096156954
126	0.3095564541
127	0.3094242733
128	0.3093517339
129	0.3092847416
130	0.3091711543
131	0.3091127447
132	0.3090103255
133	0.3089275185
134	0.3088072121
135	0.3087572357
136	0.3086952096
137	0.3085577188
138	0.3085018771
139	0.3084383588
140	0.3083763146
141	0.3083042
142	0.3082080262
143	0.3081249981
144	0.3080449845
145	0.3079993857
146	0.3078995231
147	0.3077931627
148	0.3077139732
149	0.3075886667
150	0.3075225094
151	0.3074691712
152	0.3074440642
153	0.3073770457
154	0.3072639729
155	0.3071491653
156	0.307096135
157	0.3070570823
158	0.3069595278
159	0.3068274325
160	0.3067579015
161	0.3066984854
162	0.3065979254
163	0.3065366683
164	0.3064717272
165	0.306269804
166	0.3062311577
167	0.3061286059
168	0.3060888718
169	0.3060105706
170	0.3059480389
171	0.3058896453
172	0.3058382515
173	0.3057948842
174	0.3057100248
175	0.3056608141
176	0.305614108
177	0.3055386971
178	0.3054545827
179	0.3054199671
180	0.305372279
181	0.3052781263
182	0.3051802868
183	0.3051438662
184	0.305106775
185	0.3049941297
186	0.3049548931
187	0.3048946207
188	0.3048242231
189	0.3047467526
190	0.3046769114
191	0.3045689201
192	0.3044830311
193	0.3044345226
194	0.3043422114
195	0.3042169929
196	0.3041640011
197	0.3040880849
198	0.3039541233
199	0.3039065021
200	0.303788348
201	0.303757368
202	0.3036475093
203	0.3035645122
204	0.3034867711
205	0.3033754701
206	0.3033113699
207	0.3031839921
208	0.3031190466
209	0.3030302876
210	0.3029920872
211	0.3028888846
212	0.3027953085
213	0.3027460325
214	0.3026108962
215	0.3025527615
216	0.3024877767
217	0.3024322665
218	0.3023632969
219	0.3022625524
220	0.3021868335
221	0.3021154309
222	0.3020172982
223	0.3019713466
224	0.3018969327
225	0.3018271268
226	0.3017550111
227	0.301688372
228	0.301619237
229	0.3015144954
230	0.3014351883
231	0.3012898159
232	0.3012369589
233	0.3011873484
234	0.3011136511
235	0.300978934
236	0.3008755813
237	0.3008118782
238	0.300739758
239	0.3006402683
240	0.3005509451
241	0.3005131733
242	0.3004481518
243	0.3003602175
244	0.300315333
245	0.3002049529
246	0.3001269966
247	0.3000518207
248	0.2999849292
249	0.2998661282
250	0.2997836411
251	0.2996449538
252	0.299554711
253	0.2994460224
254	0.2993698223
255	0.2993042079
256	0.2992097501
257	0.2990343597
258	0.2989718499
259	0.2988947277
260	0.2988332646
261	0.2987680775
262	0.2986727523
263	0.2986209177
264	0.2985510168
265	0.2983934296
266	0.2983048725
267	0.2982089147
268	0.2981522737
269	0.2980394976
270	0.2979508623
271	0.297865446
272	0.2977570433
273	0.2976416981
274	0.2975678939
275	0.2974937489
276	0.2974610603
277	0.2973800263
278	0.2972734821
279	0.2972043153
280	0.2971296819
281	0.2970990674
282	0.2970112449
283	0.2969822905
284	0.2969012954
285	0.296861664
286	0.2967281995
287	0.2966551313
288	0.2965944508
289	0.2965117333
290	0.2964273706
291	0.2963680299
292	0.2962852703
293	0.2962078801
294	0.2961364401
295	0.2960463131
296	0.2959669256
297	0.2958875377
298	0.2957635123
299	0.2956497098
